WenSL5_1.bin 
         5.00
11
7
Type of measurement (0=app. resistivity,1=resistance)
0
288
 2
0
4  20.00  0.00 125.00  0.00 70.00  0.00 75.00  0.00 371925.28 
4  20.00  0.00 115.00  0.00 65.00  0.00 70.00  0.00 904778.38 
4  20.00  0.00 105.00  0.00 60.00  0.00 65.00  0.00 628519.56 
4  20.00  0.00 95.00  0.00 55.00  0.00 60.00  0.00 219911.48 
4  20.00  0.00 85.00  0.00 50.00  0.00 55.00  0.00 326091.94 
4  20.00  0.00 75.00  0.00 45.00  0.00 50.00  0.00 545753.75 
4  20.00  0.00 65.00  0.00 40.00  0.00 45.00  0.00 469261.41 
4  20.00  0.00 55.00  0.00 35.00  0.00 40.00  0.00 499117.31 
4  20.00  0.00 45.00  0.00 30.00  0.00 35.00  0.00 236342.02 
4  20.00  0.00 35.00  0.00 25.00  0.00 30.00  0.00 159886.11 
4  25.00  0.00 170.00  0.00 95.00  0.00 100.00  0.00 274364.88 
4  25.00  0.00 160.00  0.00 90.00  0.00 95.00  0.00 90596.27 
4  25.00  0.00 150.00  0.00 85.00  0.00 90.00  0.00 149749.16 
4  25.00  0.00 140.00  0.00 80.00  0.00 85.00  0.00 381176.88 
4  25.00  0.00 130.00  0.00 75.00  0.00 80.00  0.00 1178822.88 
4  25.00  0.00 120.00  0.00 70.00  0.00 75.00  0.00 250757.91 
4  25.00  0.00 110.00  0.00 65.00  0.00 70.00  0.00 919600.44 
4  25.00  0.00 100.00  0.00 60.00  0.00 65.00  0.00 626732.62 
4  25.00  0.00 90.00  0.00 55.00  0.00 60.00  0.00 226464.80 
4  25.00  0.00 80.00  0.00 50.00  0.00 55.00  0.00 319971.31 
4  25.00  0.00 70.00  0.00 45.00  0.00 50.00  0.00 597949.69 
4  25.00  0.00 60.00  0.00 40.00  0.00 45.00  0.00 442952.34 
4  25.00  0.00 50.00  0.00 35.00  0.00 40.00  0.00 391499.25 
4  25.00  0.00 40.00  0.00 30.00  0.00 35.00  0.00 185005.08 
4  30.00  0.00 175.00  0.00 100.00  0.00 105.00  0.00 402266.75 
4  30.00  0.00 165.00  0.00 95.00  0.00 100.00  0.00 246549.27 
4  30.00  0.00 155.00  0.00 90.00  0.00 95.00  0.00 120001.59 
4  30.00  0.00 145.00  0.00 85.00  0.00 90.00  0.00 182608.52 
4  30.00  0.00 135.00  0.00 80.00  0.00 85.00  0.00 345650.31 
4  30.00  0.00 125.00  0.00 75.00  0.00 80.00  0.00 947684.56 
4  30.00  0.00 115.00  0.00 70.00  0.00 75.00  0.00 220162.81 
4  30.00  0.00 105.00  0.00 65.00  0.00 70.00  0.00 805554.62 
4  30.00  0.00 95.00  0.00 60.00  0.00 65.00  0.00 511451.16 
4  30.00  0.00 85.00  0.00 55.00  0.00 60.00  0.00 187003.38 
4  30.00  0.00 75.00  0.00 50.00  0.00 55.00  0.00 300587.53 
4  30.00  0.00 65.00  0.00 45.00  0.00 50.00  0.00 359421.28 
4  30.00  0.00 55.00  0.00 40.00  0.00 45.00  0.00 296871.56 
4  30.00  0.00 45.00  0.00 35.00  0.00 40.00  0.00 195438.45 
4  35.00  0.00 170.00  0.00 100.00  0.00 105.00  0.00 375127.38 
4  35.00  0.00 160.00  0.00 95.00  0.00 100.00  0.00 225392.52 
4  35.00  0.00 150.00  0.00 90.00  0.00 95.00  0.00 176301.11 
4  35.00  0.00 140.00  0.00 85.00  0.00 90.00  0.00 162809.09 
4  35.00  0.00 130.00  0.00 80.00  0.00 85.00  0.00 319287.78 
4  35.00  0.00 120.00  0.00 75.00  0.00 80.00  0.00 969842.88 
4  35.00  0.00 110.00  0.00 70.00  0.00 75.00  0.00 194294.50 
4  35.00  0.00 100.00  0.00 65.00  0.00 70.00  0.00 606829.81 
4  35.00  0.00 90.00  0.00 60.00  0.00 65.00  0.00 425652.88 
4  35.00  0.00 80.00  0.00 55.00  0.00 60.00  0.00 154642.97 
4  35.00  0.00 70.00  0.00 50.00  0.00 55.00  0.00 208193.30 
4  35.00  0.00 60.00  0.00 45.00  0.00 50.00  0.00 251597.61 
4  35.00  0.00 50.00  0.00 40.00  0.00 45.00  0.00 129772.09 
4  40.00  0.00 175.00  0.00 105.00  0.00 110.00  0.00 292734.28 
4  40.00  0.00 165.00  0.00 100.00  0.00 105.00  0.00 354049.12 
4  40.00  0.00 155.00  0.00 95.00  0.00 100.00  0.00 199963.81 
4  40.00  0.00 145.00  0.00 90.00  0.00 95.00  0.00 78828.05 
4  40.00  0.00 135.00  0.00 85.00  0.00 90.00  0.00 153442.56 
4  40.00  0.00 125.00  0.00 80.00  0.00 85.00  0.00 309038.47 
4  40.00  0.00 115.00  0.00 75.00  0.00 80.00  0.00 876682.94 
4  40.00  0.00 105.00  0.00 70.00  0.00 75.00  0.00 176992.03 
4  40.00  0.00 95.00  0.00 65.00  0.00 70.00  0.00 628130.25 
4  40.00  0.00 85.00  0.00 60.00  0.00 65.00  0.00 386819.78 
4  40.00  0.00 75.00  0.00 55.00  0.00 60.00  0.00 157714.20 
4  40.00  0.00 65.00  0.00 50.00  0.00 55.00  0.00 155811.44 
4  40.00  0.00 55.00  0.00 45.00  0.00 50.00  0.00 132940.78 
4  45.00  0.00 170.00  0.00 105.00  0.00 110.00  0.00 279161.72 
4  45.00  0.00 160.00  0.00 100.00  0.00 105.00  0.00 343695.59 
4  45.00  0.00 150.00  0.00 95.00  0.00 100.00  0.00 170627.73 
4  45.00  0.00 140.00  0.00 90.00  0.00 95.00  0.00 72648.38 
4  45.00  0.00 130.00  0.00 85.00  0.00 90.00  0.00 145742.73 
4  45.00  0.00 120.00  0.00 80.00  0.00 85.00  0.00 281942.81 
4  45.00  0.00 110.00  0.00 75.00  0.00 80.00  0.00 810886.62 
4  45.00  0.00 100.00  0.00 70.00  0.00 75.00  0.00 154262.39 
4  45.00  0.00 90.00  0.00 65.00  0.00 70.00  0.00 492039.44 
4  45.00  0.00 80.00  0.00 60.00  0.00 65.00  0.00 272740.44 
4  45.00  0.00 70.00  0.00 55.00  0.00 60.00  0.00 102576.93 
4  45.00  0.00 60.00  0.00 50.00  0.00 55.00  0.00 96631.20 
4  50.00  0.00 175.00  0.00 110.00  0.00 115.00  0.00 368810.78 
4  50.00  0.00 165.00  0.00 105.00  0.00 110.00  0.00 256379.67 
4  50.00  0.00 155.00  0.00 100.00  0.00 105.00  0.00 298451.28 
4  50.00  0.00 145.00  0.00 95.00  0.00 100.00  0.00 201984.67 
4  50.00  0.00 135.00  0.00 90.00  0.00 95.00  0.00 72859.30 
