36# Number of electrodes
# x	z
0	0.0
5	0.0
10	0.0
15	0.0
20	0.0
25	0.0
30	0.0
35	0.0
40	0.0
45	0.0
50	0.0
55	0.0
60	0.0
65	0.0
70	0.0
75	0.0
80	0.0
85	0.0
90	0.0
95	0.0
100	0.0
105	0.0
110	0.0
115	0.0
120	0.0
125	0.0
130	0.0
135	0.0
140	0.0
145	0.0
150	0.0
155	0.0
160	0.0
165	0.0
170	0.0
175	0.0
288# Number of data
#a	b	m	n	rhoa	err
32	19	26	25	627522.50	0.0000
33	20	27	26	85828.30	0.0000
34	21	28	27	280808.81	0.0000
35	22	29	28	295843.78	0.0000
36	23	30	29	173688.72	0.0000
16	1	9	8	295466.75	0.0000
17	2	10	9	206308.31	0.0000
18	3	11	10	254846.02	0.0000
19	4	12	11	165102.78	0.0000
20	5	13	12	61421.26	0.0000
21	6	14	13	93189.94	0.0000
22	7	15	14	181709.67	0.0000
23	8	16	15	402168.69	0.0000
24	9	17	16	54864.00	0.0000
25	10	18	17	365090.75	0.0000
26	11	19	18	164148.22	0.0000
27	12	20	19	281821.22	0.0000
28	13	21	20	199202.11	0.0000
29	14	22	21	262316.50	0.0000
30	15	23	22	156650.23	0.0000
31	16	24	23	59044.98	0.0000
32	17	25	24	82447.16	0.0000
33	18	26	25	153418.23	0.0000
34	19	27	26	265276.12	0.0000
35	20	28	27	32927.82	0.0000
36	21	29	28	156616.00	0.0000
18	1	10	9	182981.98	0.0000
19	2	11	10	271268.09	0.0000
20	3	12	11	219178.47	0.0000
21	4	13	12	277088.38	0.0000
22	5	14	13	166176.05	0.0000
23	6	15	14	58474.59	0.0000
24	7	16	15	93901.34	0.0000
25	8	17	16	125302.44	0.0000
26	9	18	17	369875.41	0.0000
27	10	19	18	138663.22	0.0000
28	11	20	19	154684.86	0.0000
29	12	21	20	270727.97	0.0000
30	13	22	21	183323.64	0.0000
31	14	23	22	233362.55	0.0000
32	15	24	23	128046.05	0.0000
33	16	25	24	49991.00	0.0000
34	17	26	25	65762.34	0.0000
35	18	27	26	66020.57	0.0000
36	19	28	27	167153.33	0.0000
20	1	11	10	145249.31	0.0000
21	2	12	11	150126.27	0.0000
22	3	13	12	264817.34	0.0000
23	4	14	13	207000.38	0.0000
24	5	15	14	241085.78	0.0000
25	6	16	15	124618.17	0.0000
26	7	17	16	46646.37	0.0000
27	8	18	17	36541.21	0.0000
28	9	19	18	145141.58	0.0000
29	10	20	19	127895.20	0.0000
30	11	21	20	123541.34	0.0000
31	12	22	21	217170.53	0.0000
32	13	23	22	171923.62	0.0000
33	14	24	23	201784.47	0.0000
34	15	25	24	88176.25	0.0000
35	16	26	25	29338.55	0.0000
36	17	27	26	79785.03	0.0000
22	1	12	11	121033.79	0.0000
23	2	13	12	100742.57	0.0000
24	3	14	13	114957.53	0.0000
25	4	15	14	191218.23	0.0000
26	5	16	15	123521.94	0.0000
27	6	17	16	131183.00	0.0000
28	7	18	17	50060.60	0.0000
29	8	19	18	66109.33	0.0000
30	9	20	19	98598.34	0.0000
31	10	21	20	79266.34	0.0000
32	11	22	21	86138.52	0.0000
33	12	23	22	156738.52	0.0000
34	13	24	23	90644.19	0.0000
35	14	25	24	84842.34	0.0000
36	15	26	25	126449.11	0.0000
24	1	13	12	62243.91	0.0000
25	2	14	13	87384.11	0.0000
26	3	15	14	85379.49	0.0000
27	4	16	15	95023.28	0.0000
28	5	17	16	119147.16	0.0000
29	6	18	17	39018.58	0.0000
30	7	19	18	125559.42	0.0000
31	8	20	19	64393.00	0.0000
32	9	21	20	88233.86	0.0000
33	10	22	21	75586.71	0.0000
34	11	23	22	73065.60	0.0000
35	12	24	23	82056.74	0.0000
36	13	25	24	27412.76	0.0000
26	1	14	13	116113.30	0.0000
27	2	15	14	59140.48	0.0000
28	3	16	15	74581.40	0.0000
29	4	17	16	73090.43	0.0000
30	5	18	17	47406.63	0.0000
31	6	19	18	25863.89	0.0000
32	7	20	19	106028.74	0.0000
33	8	21	20	56766.16	0.0000
34	9	22	21	58573.48	0.0000
35	10	23	22	46366.77	0.0000
36	11	24	23	81880.97	0.0000
28	1	15	14	21865.48	0.0000
29	2	16	15	89357.06	0.0000
30	3	17	16	48917.46	0.0000
31	4	18	17	35444.14	0.0000
32	5	19	18	66641.02	0.0000
33	6	20	19	17526.07	0.0000
34	7	21	20	64763.94	0.0000
35	8	22	21	23066.02	0.0000
36	9	23	22	20008.69	0.0000
30	1	16	15	47833.51	0.0000
31	2	17	16	12831.16	0.0000
32	3	18	17	42019.34	0.0000
33	4	19	18	16597.53	0.0000
34	5	20	19	33769.27	0.0000
35	6	21	20	10118.34	0.0000
36	7	22	21	7960.79	0.0000
32	1	17	16	11236.17	0.0000
33	2	18	17	15620.00	0.0000
34	3	19	18	7165.73	0.0000
35	4	20	19	2814.87	0.0000
36	5	21	20	7586.95	0.0000
34	1	18	17	33133.33	0.0000
35	2	19	18	9775.19	0.0000
36	3	20	19	11751.65	0.0000
